"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Oostzaan";"GM0431";9735;131;"Noord-Holland";72;4,40237728373322
"Opmeer";"GM0432";11836;132;"Noord-Holland";68;6,03485733597258
"Opsterland";"GM0086";29733;12;"Fryslân";71;15,8553987632789
"Oss";"GM0828";91915;226;"Noord-Brabant";73;8,39284742891336
"Oude IJsselstreek";"GM1509";39389;266;"Gelderland";77;6,52829107473805
"Ouder-Amstel";"GM0437";14026;133;"Noord-Holland";71;21,3888492799087
"Oudewater";"GM0589";10230;168;"Utrecht";74;6,98226504678118
"Overbetuwe";"GM1734";47906;307;"Gelderland";78;12,2263241705483
"Papendrecht";"GM0590";32137;169;"Zuid-Holland";72;14,6693397463538
"Peel en Maas";"GM1894";43425;322;"Limburg";76;10,8561559338761
"Pekela";"GM0765";12196;207;"Groningen";71;7,02806540786206
"Pijnacker-Nootdorp";"GM1926";55308;332;"Zuid-Holland";75;13,1729845333664
"Purmerend";"GM0439";81249;134;"Noord-Holland";69;13,18697548805
"Putten";"GM0273";24112;68;"Gelderland";66;9,47957152336714
"Raalte";"GM0177";37712;37;"Overijssel";80;11,3643251106128
